Barcode ID,BSC,BSC_NSP,total_BSC,%,Label
Elephantidae,large,16,33,48.5,"16
 (48.5%)"
Elephantidae,large/medium,5,33,15.2,"5
 (15.2%)"
Elephantidae,medium,11,33,33.3,"11
 (33.3%)"
Elephantidae,medium/small,1,33,3,"1
 (3%)"
Equidae,large,12,26,46.2,"12
 (46.2%)"
Equidae,large/medium,3,26,11.5,"3
 (11.5%)"
Equidae,medium,9,26,34.6,"9
 (34.6%)"
Equidae,medium/small,2,26,7.7,"2
 (7.7%)"
Reindeer,large,2,166,1.2,"2
 (1.2%)"
Reindeer,large/medium,6,166,3.6,"6
 (3.6%)"
Reindeer,medium,143,166,86.1,"143
 (86.1%)"
Reindeer,medium/small,15,166,9,"15
 (9%)"
Bos/Bison,large,3,8,37.5,"3
 (37.5%)"
Bos/Bison,large/medium,2,8,25,"2
 (25%)"
Bos/Bison,medium,3,8,37.5,"3
 (37.5%)"
