Find ID,Barcode ID,type,value,Protocol
292/1,Reindeer,Ambic_P1105,0.75,Ambic_P1105
292/1,Reindeer,Acid_P1105,0.82,Acid_P1105
305,Reindeer,Ambic_P1105,0.75,Ambic_P1105
305,Reindeer,Acid_P1105,0.85,Acid_P1105
295,Reindeer,Ambic_P1105,0.63,Ambic_P1105
295,Reindeer,Acid_P1105,0.81,Acid_P1105
281,Reindeer,Ambic_P1105,0.69,Ambic_P1105
281,Reindeer,Acid_P1105,0.86,Acid_P1105
329,Elephantidae,Ambic_P1105,NA,Ambic_P1105
329,Elephantidae,Acid_P1105,NA,Acid_P1105
304,Reindeer,Ambic_P1105,NA,Ambic_P1105
304,Reindeer,Acid_P1105,0.83,Acid_P1105
350,Reindeer,Ambic_P1105,0.75,Ambic_P1105
350,Reindeer,Acid_P1105,0.85,Acid_P1105
309,Reindeer,Ambic_P1105,NA,Ambic_P1105
309,Reindeer,Acid_P1105,0.86,Acid_P1105
339/1,Reindeer,Ambic_P1105,NA,Ambic_P1105
339/1,Reindeer,Acid_P1105,0.69,Acid_P1105
339/2,Reindeer,Ambic_P1105,0.72,Ambic_P1105
339/2,Reindeer,Acid_P1105,0.8,Acid_P1105
339/3,Reindeer,Ambic_P1105,0.78,Ambic_P1105
339/3,Reindeer,Acid_P1105,0.91,Acid_P1105
339/4,Elephantidae,Ambic_P1105,0.73,Ambic_P1105
339/4,Elephantidae,Acid_P1105,0.87,Acid_P1105
339/5,Reindeer,Ambic_P1105,0.71,Ambic_P1105
339/5,Reindeer,Acid_P1105,0.82,Acid_P1105
289,Reindeer,Ambic_P1105,0.65,Ambic_P1105
289,Reindeer,Acid_P1105,0.79,Acid_P1105
328,Reindeer,Ambic_P1105,0.68,Ambic_P1105
328,Reindeer,Acid_P1105,0.81,Acid_P1105
308,Equidae,Ambic_P1105,NA,Ambic_P1105
308,Equidae,Acid_P1105,0.69,Acid_P1105
278,Reindeer,Ambic_P1105,0.68,Ambic_P1105
278,Reindeer,Acid_P1105,0.76,Acid_P1105
315/1,Equidae,Ambic_P1105,0.75,Ambic_P1105
315/1,Equidae,Acid_P1105,0.82,Acid_P1105
315/2,Equidae,Ambic_P1105,NA,Ambic_P1105
315/2,Equidae,Acid_P1105,0.74,Acid_P1105
5222,Reindeer,Ambic_P1105,0.69,Ambic_P1105
5222,Reindeer,Acid_P1105,0.8,Acid_P1105
259,Elephantidae,Ambic_P1105,0.73,Ambic_P1105
259,Elephantidae,Acid_P1105,0.8,Acid_P1105
274,Reindeer,Ambic_P1105,NA,Ambic_P1105
274,Reindeer,Acid_P1105,0.76,Acid_P1105
5198,Reindeer,Ambic_P1105,NA,Ambic_P1105
5198,Reindeer,Acid_P1105,0.79,Acid_P1105
5239,Reindeer,Ambic_P1105,NA,Ambic_P1105
5239,Reindeer,Acid_P1105,0.66,Acid_P1105
279,Reindeer,Ambic_P1105,0.6,Ambic_P1105
279,Reindeer,Acid_P1105,0.79,Acid_P1105
306,Reindeer,Ambic_P1105,NA,Ambic_P1105
306,Reindeer,Acid_P1105,0.83,Acid_P1105
299,Reindeer,Ambic_P1105,NA,Ambic_P1105
299,Reindeer,Acid_P1105,0.71,Acid_P1105
5256,Reindeer,Ambic_P1105,NA,Ambic_P1105
5256,Reindeer,Acid_P1105,0.81,Acid_P1105
5101/1,Reindeer,Ambic_P1105,0.81,Ambic_P1105
5101/1,Reindeer,Acid_P1105,0.85,Acid_P1105
5101/2,Elephantidae,Ambic_P1105,0.8,Ambic_P1105
5101/2,Elephantidae,Acid_P1105,0.84,Acid_P1105
5211,Reindeer,Ambic_P1105,0.71,Ambic_P1105
5211,Reindeer,Acid_P1105,0.85,Acid_P1105
132/0,Reindeer,Ambic_P1105,NA,Ambic_P1105
132/0,Reindeer,Acid_P1105,0.79,Acid_P1105
5298,Reindeer,Ambic_P1105,0.7,Ambic_P1105
5298,Reindeer,Acid_P1105,0.7,Acid_P1105
5310,Reindeer,Ambic_P1105,NA,Ambic_P1105
5310,Reindeer,Acid_P1105,0.69,Acid_P1105
515/1,Reindeer,Ambic_P1105,0.73,Ambic_P1105
515/1,Reindeer,Acid_P1105,0.77,Acid_P1105
515/2,Reindeer,Ambic_P1105,0.71,Ambic_P1105
515/2,Reindeer,Acid_P1105,0.82,Acid_P1105
5275,Reindeer,Ambic_P1105,NA,Ambic_P1105
5275,Reindeer,Acid_P1105,0.75,Acid_P1105
5199,Reindeer,Ambic_P1105,0.65,Ambic_P1105
5199,Reindeer,Acid_P1105,0.79,Acid_P1105
5209,Reindeer,Ambic_P1105,NA,Ambic_P1105
5209,Reindeer,Acid_P1105,0.7,Acid_P1105
316,Reindeer,Ambic_P1105,NA,Ambic_P1105
316,Reindeer,Acid_P1105,0.72,Acid_P1105
260,Reindeer,Ambic_P1105,0.78,Ambic_P1105
260,Reindeer,Acid_P1105,0.86,Acid_P1105
233,Reindeer,Ambic_P1105,0.72,Ambic_P1105
233,Reindeer,Acid_P1105,0.83,Acid_P1105
5195,Reindeer,Ambic_P1105,NA,Ambic_P1105
5195,Reindeer,Acid_P1105,0.77,Acid_P1105
5223,Reindeer,Ambic_P1105,0.75,Ambic_P1105
5223,Reindeer,Acid_P1105,0.79,Acid_P1105
5205/1,Elephantidae,Ambic_P1105,NA,Ambic_P1105
5205/1,Elephantidae,Acid_P1105,0.79,Acid_P1105
197,Reindeer,Ambic_P1105,NA,Ambic_P1105
197,Reindeer,Acid_P1105,0.78,Acid_P1105
101,Reindeer,Ambic_P1105,NA,Ambic_P1105
101,Reindeer,Acid_P1105,NA,Acid_P1105
235,Reindeer,Ambic_P1105,NA,Ambic_P1105
235,Reindeer,Acid_P1105,0.72,Acid_P1105
5220,Reindeer,Ambic_P1105,NA,Ambic_P1105
5220,Reindeer,Acid_P1105,0.75,Acid_P1105
5013/1,Reindeer,Ambic_P1105,0.71,Ambic_P1105
5013/1,Reindeer,Acid_P1105,0.78,Acid_P1105
5296,Reindeer,Ambic_P1105,NA,Ambic_P1105
5296,Reindeer,Acid_P1105,0.68,Acid_P1105
280/2,Reindeer,Ambic_P1105,0.63,Ambic_P1105
280/2,Reindeer,Acid_P1105,0.84,Acid_P1105
5311,Reindeer,Ambic_P1105,NA,Ambic_P1105
5311,Reindeer,Acid_P1105,0.9,Acid_P1105
492/2,Reindeer,Ambic_P1105,NA,Ambic_P1105
492/2,Reindeer,Acid_P1105,0.76,Acid_P1105
5221,Reindeer,Ambic_P1105,0.71,Ambic_P1105
5221,Reindeer,Acid_P1105,0.84,Acid_P1105
5214,Reindeer,Ambic_P1105,0.72,Ambic_P1105
5214,Reindeer,Acid_P1105,0.87,Acid_P1105
5313,Elephantidae,Ambic_P1105,0.76,Ambic_P1105
5313,Elephantidae,Acid_P1105,0.81,Acid_P1105
32/1,Reindeer,Ambic_P1105,0.73,Ambic_P1105
32/1,Reindeer,Acid_P1105,0.83,Acid_P1105
32/2,Reindeer,Ambic_P1105,0.79,Ambic_P1105
32/2,Reindeer,Acid_P1105,0.87,Acid_P1105
5124,Reindeer,Ambic_P1105,NA,Ambic_P1105
5124,Reindeer,Acid_P1105,0.78,Acid_P1105
371,Reindeer,Ambic_P1105,NA,Ambic_P1105
371,Reindeer,Acid_P1105,NA,Acid_P1105
5283,Equidae,Ambic_P1105,NA,Ambic_P1105
5283,Equidae,Acid_P1105,0.83,Acid_P1105
400/1,Reindeer,Ambic_P1105,0.68,Ambic_P1105
400/1,Reindeer,Acid_P1105,0.8,Acid_P1105
400/2,Reindeer,Ambic_P1105,0.65,Ambic_P1105
400/2,Reindeer,Acid_P1105,0.68,Acid_P1105
5288,Reindeer,Ambic_P1105,0.77,Ambic_P1105
5288,Reindeer,Acid_P1105,0.84,Acid_P1105
5167/2,Reindeer,Ambic_P1105,0.76,Ambic_P1105
5167/2,Reindeer,Acid_P1105,0.88,Acid_P1105
5970/4,Reindeer,Ambic_P1105,0.71,Ambic_P1105
5970/4,Reindeer,Acid_P1105,0.82,Acid_P1105
5970/5,Reindeer,Ambic_P1105,0.73,Ambic_P1105
5970/5,Reindeer,Acid_P1105,0.86,Acid_P1105
5970/6,Reindeer,Ambic_P1105,0.73,Ambic_P1105
5970/6,Reindeer,Acid_P1105,0.83,Acid_P1105
5970/7,Equidae,Ambic_P1105,0.8,Ambic_P1105
5970/7,Equidae,Acid_P1105,0.83,Acid_P1105
6017,Reindeer,Ambic_P1105,0.69,Ambic_P1105
6017,Reindeer,Acid_P1105,0.81,Acid_P1105
6441/4,Reindeer,Ambic_P1105,0.68,Ambic_P1105
6441/4,Reindeer,Acid_P1105,0.85,Acid_P1105
6441/5,Reindeer,Ambic_P1105,0.78,Ambic_P1105
6441/5,Reindeer,Acid_P1105,0.84,Acid_P1105
1006,Equidae,Ambic_P1105,0.78,Ambic_P1105
1006,Equidae,Acid_P1105,0.86,Acid_P1105
1333,Reindeer,Ambic_P1105,0.75,Ambic_P1105
1333,Reindeer,Acid_P1105,0.81,Acid_P1105
5966/1,Reindeer,Ambic_P1105,NA,Ambic_P1105
5966/1,Reindeer,Acid_P1105,0.82,Acid_P1105
5966/2,Reindeer,Ambic_P1105,0.74,Ambic_P1105
5966/2,Reindeer,Acid_P1105,0.82,Acid_P1105
5966/3,Reindeer,Ambic_P1105,0.75,Ambic_P1105
5966/3,Reindeer,Acid_P1105,0.88,Acid_P1105
5898/4,Reindeer,Ambic_P1105,0.69,Ambic_P1105
5898/4,Reindeer,Acid_P1105,0.8,Acid_P1105
5898/5,Reindeer,Ambic_P1105,0.76,Ambic_P1105
5898/5,Reindeer,Acid_P1105,0.83,Acid_P1105
1034/1,Reindeer,Ambic_P1105,0.74,Ambic_P1105
1034/1,Reindeer,Acid_P1105,0.85,Acid_P1105
1034/5,Reindeer,Ambic_P1105,0.7,Ambic_P1105
1034/5,Reindeer,Acid_P1105,0.77,Acid_P1105
5892,Reindeer,Ambic_P1105,0.71,Ambic_P1105
5892,Reindeer,Acid_P1105,0.82,Acid_P1105
5993/2,Reindeer,Ambic_P1105,0.8,Ambic_P1105
5993/2,Reindeer,Acid_P1105,0.85,Acid_P1105
5993/3,Reindeer,Ambic_P1105,NA,Ambic_P1105
5993/3,Reindeer,Acid_P1105,0.84,Acid_P1105
966,Reindeer,Ambic_P1105,0.76,Ambic_P1105
966,Reindeer,Acid_P1105,0.82,Acid_P1105
1063,Reindeer,Ambic_P1105,NA,Ambic_P1105
1063,Reindeer,Acid_P1105,0.8,Acid_P1105
1377,Reindeer,Ambic_P1105,NA,Ambic_P1105
1377,Reindeer,Acid_P1105,0.75,Acid_P1105
1042,Elephantidae,Ambic_P1105,NA,Ambic_P1105
1042,Elephantidae,Acid_P1105,0.86,Acid_P1105
1403,Reindeer,Ambic_P1105,0.69,Ambic_P1105
1403,Reindeer,Acid_P1105,0.87,Acid_P1105
1355,Reindeer,Ambic_P1105,NA,Ambic_P1105
1355,Reindeer,Acid_P1105,0.81,Acid_P1105
1773,Bos/Bison,Ambic_P1105,NA,Ambic_P1105
1773,Bos/Bison,Acid_P1105,0.88,Acid_P1105
1062,Equidae,Ambic_P1105,0.65,Ambic_P1105
1062,Equidae,Acid_P1105,0.81,Acid_P1105
1283,Equidae,Ambic_P1105,NA,Ambic_P1105
1283,Equidae,Acid_P1105,0.78,Acid_P1105
6000,Reindeer,Ambic_P1105,0.78,Ambic_P1105
6000,Reindeer,Acid_P1105,0.78,Acid_P1105
1962,Bos/Bison,Ambic_P1105,0.76,Ambic_P1105
1962,Bos/Bison,Acid_P1105,0.83,Acid_P1105
1170,Reindeer,Ambic_P1105,NA,Ambic_P1105
1170,Reindeer,Acid_P1105,NA,Acid_P1105
