Barcode ID,type,weath.mod,NSP,pc
Elephantidae,low weathering,13,63,20.6
Elephantidae,medium weathering,39,63,61.9
Elephantidae,high weathering,11,63,17.5
Equidae,low weathering,19,49,38.8
Equidae,medium weathering,28,49,57.1
Equidae,high weathering,2,49,4.1
Reindeer,low weathering,213,429,49.7
Reindeer,medium weathering,204,429,47.6
Reindeer,high weathering,12,429,2.8
Bos/Bison,low weathering,8,15,53.3
Bos/Bison,medium weathering,6,15,40
Bos/Bison,high weathering,1,15,6.7
unidentified,low weathering,52,116,44.8
unidentified,medium weathering,53,116,45.7
unidentified,high weathering,11,116,9.5
