Barcode_ID,Acid_P1105
Reindeer,0.82
Reindeer,0.85
Reindeer,0.81
Reindeer,0.86
Reindeer,0.83
Reindeer,0.85
Reindeer,0.86
Reindeer,0.69
Reindeer,0.8
Reindeer,0.91
Elephantidae,0.87
Reindeer,0.82
Reindeer,0.79
Reindeer,0.81
Equidae,0.69
Reindeer,0.76
Equidae,0.82
Equidae,0.74
Reindeer,0.8
Elephantidae,0.8
Reindeer,0.76
Reindeer,0.79
Reindeer,0.66
Reindeer,0.79
Reindeer,0.83
Reindeer,0.71
Reindeer,0.81
Reindeer,0.85
Elephantidae,0.84
Reindeer,0.85
Reindeer,0.79
Reindeer,0.7
Reindeer,0.69
Reindeer,0.77
Reindeer,0.82
Reindeer,0.75
Reindeer,0.79
Reindeer,0.7
Reindeer,0.72
Reindeer,0.86
Reindeer,0.83
Reindeer,0.77
Reindeer,0.79
Elephantidae,0.79
Reindeer,0.78
Reindeer,0.72
Reindeer,0.75
Reindeer,0.78
Reindeer,0.68
Reindeer,0.84
Reindeer,0.9
Reindeer,0.76
Reindeer,0.84
Reindeer,0.87
Elephantidae,0.81
Reindeer,0.83
Reindeer,0.87
Reindeer,0.78
Equidae,0.83
Reindeer,0.8
Reindeer,0.68
Reindeer,0.84
Reindeer,0.88
Reindeer,0.82
Reindeer,0.86
Reindeer,0.83
Equidae,0.83
Reindeer,0.81
Reindeer,0.85
Reindeer,0.84
Equidae,0.86
Reindeer,0.81
Reindeer,0.82
Reindeer,0.82
Reindeer,0.88
Reindeer,0.8
Reindeer,0.83
Reindeer,0.85
Reindeer,0.77
Reindeer,0.82
Reindeer,0.85
Reindeer,0.84
Reindeer,0.82
Reindeer,0.8
Reindeer,0.75
Elephantidae,0.86
Reindeer,0.87
Reindeer,0.81
Bos/Bison,0.88
Equidae,0.81
Equidae,0.78
Reindeer,0.78
Bos/Bison,0.83
Reindeer,0.83
Reindeer,0.75
Bos/Bison,0.87
Elephantidae,0.86
Bos/Bison,0.84
Reindeer,0.88
Reindeer,0.83
Reindeer,0.88
Reindeer,0.86
Reindeer,0.87
Elephantidae,0.83
Reindeer,0.76
Equidae,0.89
Reindeer,0.9
Reindeer,0.86
Reindeer,0.93
Reindeer,0.81
Reindeer,0.9
Reindeer,0.81
Reindeer,0.93
Reindeer,0.91
Reindeer,0.78
Reindeer,0.83
Reindeer,0.88
Reindeer,0.83
Reindeer,0.86
Reindeer,0.93
Reindeer,0.84
Reindeer,0.88
Reindeer,0.83
Equidae,0.89
Elephantidae,0.92
Bos/Bison,0.88
Equidae,0.77
Reindeer,0.87
Reindeer,0.86
Elephantidae,0.79
Reindeer,0.87
Reindeer,0.89
Reindeer,0.72
Reindeer,0.81
Equidae,0.83
Reindeer,0.92
Reindeer,0.86
Elephantidae,0.94
Reindeer,0.91
Elephantidae,0.92
Reindeer,0.89
Reindeer,0.8
Reindeer,0.82
Reindeer,0.94
Bos/Bison,0.84
Reindeer,0.93
Reindeer,0.77
Reindeer,0.86
Reindeer,0.89
Reindeer,0.88
Reindeer,0.91
Reindeer,0.89
Equidae,0.89
Reindeer,0.88
Reindeer,0.92
Equidae,0.88
Reindeer,0.9
Reindeer,0.82
Elephantidae,0.81
Equidae,0.87
Elephantidae,0.91
Reindeer,0.84
Reindeer,0.91
Reindeer,0.86
Reindeer,0.87
Reindeer,0.89
Reindeer,0.9
Reindeer,0.91
Equidae,0.89
Reindeer,0.85
Reindeer,0.84
Reindeer,0.92
Reindeer,0.78
Equidae,0.88
Reindeer,0.86
Reindeer,0.75
Reindeer,0.88
Reindeer,0.85
Reindeer,0.83
Reindeer,0.67
Reindeer,0.82
Reindeer,0.83
Reindeer,0.92
Reindeer,0.74
Reindeer,0.88
Reindeer,0.85
Reindeer,0.82
Reindeer,0.82
Equidae,0.87
Reindeer,0.87
Reindeer,0.86
Elephantidae,0.87
Elephantidae,0.82
Reindeer,0.87
Reindeer,0.85
Reindeer,0.9
Reindeer,0.83
Elephantidae,0.78
Reindeer,0.65
Elephantidae,0.77
Elephantidae,0.89
Elephantidae,0.79
Equidae,0.86
Reindeer,0.88
Reindeer,0.85
Reindeer,0.85
Reindeer,0.83
Reindeer,0.76
Reindeer,0.82
Reindeer,0.83
Reindeer,0.81
Elephantidae,0.93
Reindeer,0.76
Equidae,0.85
Reindeer,0.85
Reindeer,0.88
Reindeer,0.83
Reindeer,0.87
Reindeer,0.91
Equidae,0.84
Reindeer,0.84
Reindeer,0.84
Reindeer,0.86
Reindeer,0.83
Reindeer,0.84
Equidae,0.85
Reindeer,0.81
Elephantidae,0.89
Reindeer,0.74
Elephantidae,0.73
Reindeer,0.9
Reindeer,0.87
Equidae,0.83
Reindeer,0.87
Reindeer,0.78
Reindeer,0.64
Reindeer,0.92
Reindeer,0.79
Reindeer,0.87
Reindeer,0.89
Reindeer,0.89
Reindeer,0.79
Reindeer,0.9
Reindeer,0.85
Reindeer,0.87
Reindeer,0.85
Reindeer,0.86
Reindeer,0.81
Reindeer,0.87
Reindeer,0.84
Reindeer,0.83
Reindeer,0.93
Elephantidae,0.86
Reindeer,0.89
Reindeer,0.94
Reindeer,0.84
Reindeer,0.82
Reindeer,0.91
Bos/Bison,0.84
Reindeer,0.87
Reindeer,0.85
Reindeer,0.92
Reindeer,0.86
Reindeer,0.88
Reindeer,0.9
Reindeer,0.71
Reindeer,0.82
Reindeer,0.83
Reindeer,0.88
Bos/Bison,0.83
Equidae,0.82
Reindeer,0.89
Equidae,0.85
Reindeer,0.76
Reindeer,0.92
Reindeer,0.85
Elephantidae,0.64
Elephantidae,0.89
Elephantidae,0.74
Reindeer,0.88
Reindeer,0.9
Reindeer,0.85
Reindeer,0.81
Bos/Bison,0.83
Reindeer,0.87
Reindeer,0.89
Elephantidae,0.92
Elephantidae,0.86
Reindeer,0.82
Reindeer,0.79
Reindeer,0.88
Reindeer,0.95
Reindeer,0.88
Reindeer,0.82
Reindeer,0.77
Elephantidae,0.84
Reindeer,0.82
Reindeer,0.87
Reindeer,0.83
Reindeer,0.77
Reindeer,0.84
Reindeer,0.86
Reindeer,0.83
Reindeer,0.88
Reindeer,0.86
Reindeer,0.87
Reindeer,0.75
Reindeer,0.85
Reindeer,0.9
Reindeer,0.84
Reindeer,0.77
Reindeer,0.91
Equidae,0.87
Equidae,0.95
Reindeer,0.88
Reindeer,0.87
Reindeer,0.85
Equidae,0.89
Reindeer,0.81
Reindeer,0.86
Reindeer,0.84
Reindeer,0.73
Elephantidae,0.9
Reindeer,0.76
Elephantidae,0.85
Reindeer,0.83
Reindeer,0.83
Reindeer,0.86
Reindeer,0.87
Reindeer,0.89
Reindeer,0.87
Reindeer,0.86
Equidae,0.8
Reindeer,0.91
Reindeer,0.84
